date_maj,score_final,score_surete,score_commercial,action_recommandee,fenetre_action,titre,acheteur,pays_execution,type_notice,justification,publication_number,lien_avis,deadline,date_publication,statut_suivi,date_detection
2026-08-18,3.7,4.4,3.0,ignorer,indetermine,Côte d'Ivoire Renewable Energy & Financial Stability Initiative,CI-Energies,CIV,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2027-02-25 (20 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P510702,https://projects.worldbank.org/en/projects-operations/project-detail/P510702,2032-11-30,2027-02-25,nouveau,2026-08-13
2026-08-18,5.2,4.4,6.0,surveiller,indetermine,Mpatamanga Hydropower Storage Project Guarantee,"Ministry of Energy, Republic of Malawi",MWI,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2027-02-19 (100 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P513960,https://projects.worldbank.org/en/projects-operations/project-detail/P513960,2032-06-30,2027-02-19,nouveau,2026-08-13
2026-08-18,6.4,6.8,6.0,surveiller,indetermine,Ethiopia - Building Opportunities for Optimized Trade and Investment for Growth,"Ethiopia Investment Commission (EIC),Ministry of Trade and Regional Integration (MoTRI)",ETH,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2027-02-16 (185 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P515564,https://projects.worldbank.org/en/projects-operations/project-detail/P515564,2033-02-15,2027-02-16,nouveau,2026-08-13
2026-08-18,4.4,6.8,2.0,ignorer,indetermine,FOREX Liquidity Support Mechanism,"Ministry of Finance, PPP Unit",ETH,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2027-02-05 (montant n.c.). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P510397,https://projects.worldbank.org/en/projects-operations/project-detail/P510397,,2027-02-05,nouveau,2026-08-13
2026-08-18,5.7,4.4,7.0,surveiller,indetermine,Angola Value Chains and Agribusiness Development Project,"Ministry of Agriculture and Forestry,Ministry of Planning",AGO,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2027-01-29 (300 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P518502,https://projects.worldbank.org/en/projects-operations/project-detail/P518502,2032-12-31,2027-01-29,nouveau,2026-08-13
2026-08-18,6.9,6.8,7.0,contacter,indetermine,Pakistan Bold Reforms for Investment-Driven Growth and Employment Program,Ministry of Finance,PAK,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2027-01-29 (300 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P517511,https://projects.worldbank.org/en/projects-operations/project-detail/P517511,2031-12-01,2027-01-29,nouveau,2026-08-13
2026-08-18,6.9,6.8,7.0,contacter,indetermine,Ethiopia Sustainable WASH Access Program,"Ministry of Education,Ministry of Health,Ministry of Water and Energy",ETH,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2027-01-29 (250 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P516998,https://projects.worldbank.org/en/projects-operations/project-detail/P516998,2031-01-31,2027-01-29,nouveau,2026-08-13
2026-08-18,4.7,4.4,5.0,surveiller,indetermine,Sierra Leone Free Education Project,,SLE,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2027-01-29 (66 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P510442,https://projects.worldbank.org/en/projects-operations/project-detail/P510442,,2027-01-29,nouveau,2026-08-13
2026-08-18,6.9,6.8,7.0,contacter,indetermine,"Agriculture Value Chains Development for Productivity, Commercialization and Jobs in Ethiopia",Ministry of Agriculture,ETH,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2027-01-28 (250 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P510576,https://projects.worldbank.org/en/projects-operations/project-detail/P510576,2032-04-16,2027-01-28,nouveau,2026-08-13
2026-08-18,5.2,4.4,6.0,surveiller,indetermine,Togo Urban Transformation Program,"Ministère de l'Aménagement du Territoire, de l'Urbanisme et de l'Habitat",TGO,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2027-01-27 (100 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P514363,https://projects.worldbank.org/en/projects-operations/project-detail/P514363,2035-06-30,2027-01-27,nouveau,2026-08-13
2026-08-18,4.2,4.4,4.0,ignorer,indetermine,Program for the Strengthening of Human Capital in Djibouti,"Ministry of Education and Technical Training,Ministry of Health,Ministry of Social Affairs and Solidarity,Ministry of Women and Family",DJI,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2027-01-15 (30 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P513653,https://projects.worldbank.org/en/projects-operations/project-detail/P513653,2030-12-31,2027-01-15,nouveau,2026-08-13
2026-08-18,5.2,4.4,6.0,surveiller,indetermine,Renewable Energy Development Project - Phase 2,Ministry of Energy,KGZ,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2027-01-14 (132 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P509365,https://projects.worldbank.org/en/projects-operations/project-detail/P509365,2029-08-30,2027-01-14,nouveau,2026-08-13
2026-08-18,9.0,10.0,8.0,contacter,indetermine,Enhancing Reliable Electricity Supply and Regional Integration,"Middle Electricity Distribution Company,South Electricity Transmission Company",IRQ,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2026-12-21 (671 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P511750,https://projects.worldbank.org/en/projects-operations/project-detail/P511750,2031-12-22,2026-12-21,nouveau,2026-08-13
2026-08-18,4.7,4.4,5.0,surveiller,indetermine,Sierra Leone Electricity Utility Recovery and Energy Access Project Phase 1,"Electiricity Distribution Supply Authority ,Ministry of Energy",SLE,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2026-12-18 (50 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P518498,https://projects.worldbank.org/en/projects-operations/project-detail/P518498,2031-12-31,2026-12-18,nouveau,2026-08-13
2026-08-18,6.9,6.8,7.0,contacter,indetermine,"Cameroon Finance for Jobs, Inclusion and Growth",National Economic and Financial Committee of Cameroon,CMR,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2026-12-17 (200 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P507999,https://projects.worldbank.org/en/projects-operations/project-detail/P507999,2034-11-30,2026-12-17,nouveau,2026-08-13
2026-08-18,6.4,6.8,6.0,surveiller,indetermine,Sindh Property Revenues Enhancement Program,"Local Government Department, Government of Sindh",PAK,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2026-12-16 (150 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P517498,https://projects.worldbank.org/en/projects-operations/project-detail/P517498,,2026-12-16,nouveau,2026-08-13
2026-08-18,6.9,6.8,7.0,contacter,indetermine,PRIME Phase 2 - Renewable Energy IPP Support Guarantee,Ethiopian Electric Power,ETH,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2026-12-15 (240 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P515532,https://projects.worldbank.org/en/projects-operations/project-detail/P515532,,2026-12-15,nouveau,2026-08-13
2026-08-18,5.2,4.4,6.0,surveiller,indetermine,Syria Smallholder Transformation for Agriculture Revitalization Project,Ministry of Agriculture,SYR,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2026-12-15 (175 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P515346,https://projects.worldbank.org/en/projects-operations/project-detail/P515346,2033-02-18,2026-12-15,nouveau,2026-08-13
2026-08-18,4.2,4.4,4.0,ignorer,indetermine,Saint Paul 2 Hydropower Project Phase 1,Liberia Electricity Corporation,LBR,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2026-12-10 (40 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P516648,https://projects.worldbank.org/en/projects-operations/project-detail/P516648,2029-12-31,2026-12-10,nouveau,2026-08-13
2026-08-18,6.2,4.4,8.0,surveiller,indetermine,Kenya Urban Mobility Improvement Project,"Kenya Railways,Ministry of Roads and Transport",KEN,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2026-12-10 (500 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P515393,https://projects.worldbank.org/en/projects-operations/project-detail/P515393,2033-01-31,2026-12-10,nouveau,2026-08-13
2026-08-18,9.0,10.0,8.0,contacter,indetermine,Iraq: Program for Advancement of Transformational Higher Education for Jobs - Phase 1,Ministry of Higher Education and Scientific Research,IRQ,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2026-12-10 (500 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P510893,https://projects.worldbank.org/en/projects-operations/project-detail/P510893,,2026-12-10,nouveau,2026-08-13
2026-08-18,5.2,4.4,6.0,surveiller,indetermine,Sudan SANAD II -  Productive Safety Net Project,UNICEF,SDN,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2026-12-04 (100 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P514485,https://projects.worldbank.org/en/projects-operations/project-detail/P514485,2030-12-31,2026-12-04,nouveau,2026-08-13
2026-08-18,5.7,4.4,7.0,surveiller,indetermine,Uganda Health Services Transformation Program,Ministry of Health,UGA,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2026-12-03 (300 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P518373,https://projects.worldbank.org/en/projects-operations/project-detail/P518373,2032-12-02,2026-12-03,nouveau,2026-08-13
2026-08-18,4.2,4.4,4.0,ignorer,indetermine,Zambia Healthcare Innovation and Transformation Project,Ministry of Health,ZMB,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2026-12-03 (40 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P516062,https://projects.worldbank.org/en/projects-operations/project-detail/P516062,2032-01-30,2026-12-03,nouveau,2026-08-13
2026-08-18,5.2,4.4,6.0,surveiller,indetermine,Togo's Second Invest-4-Jobs Development Policy Financing (DPF) Operation,Presidency of the Council of Minister,TGO,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2026-12-02 (125 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P514125,https://projects.worldbank.org/en/projects-operations/project-detail/P514125,2027-12-31,2026-12-02,nouveau,2026-08-13
2026-08-18,5.7,4.4,7.0,surveiller,indetermine,Syria Railway Rehabilitation and Modernization Project,"Ministry of Transport,Project Management Team",SYR,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2026-11-30 (200 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P517871,https://projects.worldbank.org/en/projects-operations/project-detail/P517871,2032-03-31,2026-11-30,nouveau,2026-08-13
2026-08-18,8.0,10.0,6.0,contacter,indetermine,"Resilient, Equitable and Accessible Credit for Housing Project",Ukraine Finance Housing Company,UKR,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2026-11-30 (110 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P517177,https://projects.worldbank.org/en/projects-operations/project-detail/P517177,2030-06-30,2026-11-30,nouveau,2026-08-13
2026-08-18,6.9,6.8,7.0,contacter,indetermine,"Cameroon Electricity Sector Turnaround and Access Program  (CESTAP, Phase 1)","Société Nationale de Transport de l'Électricité (SONATREL),Agence de l'Electrification Rurale (AER),ENEO Cameroon S.A,Ministry of Water and Energy",CMR,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2026-11-30 (450 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P515197,https://projects.worldbank.org/en/projects-operations/project-detail/P515197,2032-06-30,2026-11-30,nouveau,2026-08-13
2026-08-18,8.0,10.0,6.0,contacter,indetermine,Afghanistan Rural Livelihoods Program,"Aga Khan Development Network,Food and Agriculture Organization (FAO)",AFG,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2026-11-30 (132 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P514302,https://projects.worldbank.org/en/projects-operations/project-detail/P514302,2029-12-31,2026-11-30,nouveau,2026-08-13
2026-08-18,6.0,10.0,2.0,surveiller,indetermine,Youth Empowerment Support in Ukraine Project,ISAR Ednannia,UKR,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2026-11-30 (montant n.c.). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P505079,https://projects.worldbank.org/en/projects-operations/project-detail/P505079,2030-10-02,2026-11-30,nouveau,2026-08-13
2026-08-18,3.2,4.4,2.0,ignorer,indetermine,Zimbabwe Renewable Energy Procurement Technical Assistance Project,"Ministry of Energy and Power Development,Zimbabwe Electricity Transmission and Distribution Company",ZWE,Projet BM (Active),"Projet BM Active approuve le 2026-11-26 (montant n.c.). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P511160,https://projects.worldbank.org/en/projects-operations/project-detail/P511160,2027-06-30,2026-11-26,nouveau,2026-08-13
2026-08-18,5.7,4.4,7.0,surveiller,indetermine,Kenya Support to National Irrigation Sector Investment Program - Kenya Resilient Irrigation for a Sustainable Economy,"Ministry of Water, Sanitation and Irrigation (MoWSI)",KEN,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2026-11-25 (250 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P517436,https://projects.worldbank.org/en/projects-operations/project-detail/P517436,2032-05-14,2026-11-25,nouveau,2026-08-13
2026-08-18,6.2,4.4,8.0,surveiller,indetermine,Kenya Agribusiness Value Chains Development Project (KAVDP),Ministry of Agriculture and Livestock Development,KEN,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2026-11-25 (500 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P517246,https://projects.worldbank.org/en/projects-operations/project-detail/P517246,2031-12-01,2026-11-25,nouveau,2026-08-13
2026-08-18,6.9,6.8,7.0,contacter,indetermine,"Sindh Transformational Accelerated Rural Water Supply, Sanitation and Hygiene Services Phase 1 Project",Sindh People's Housing for Flood Affectees (SPHF),PAK,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2026-11-25 (300 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P515194,https://projects.worldbank.org/en/projects-operations/project-detail/P515194,2032-07-30,2026-11-25,nouveau,2026-08-13
2026-08-18,8.0,10.0,6.0,contacter,indetermine,RESILAND Mali Landscape Restoration Project,,MLI,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2026-11-19 (150 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P516060,https://projects.worldbank.org/en/projects-operations/project-detail/P516060,,2026-11-19,nouveau,2026-08-13
2026-08-18,3.2,4.4,2.0,ignorer,indetermine,Sudan Transition to Agriculture Recovery and Resilience Project,A UN Agency or an INGO,SDN,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2026-11-19 (montant n.c.). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P514272,https://projects.worldbank.org/en/projects-operations/project-detail/P514272,2029-12-31,2026-11-19,nouveau,2026-08-13
2026-08-18,5.2,4.4,6.0,surveiller,indetermine,Tanzania: Uganda-Tanzania Interconnector Project,Tanzania Electric Supply Company Limited (TANESCO),TZA,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2026-11-18 (194 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P512145,https://projects.worldbank.org/en/projects-operations/project-detail/P512145,2031-12-31,2026-11-18,nouveau,2026-08-13
2026-08-18,5.7,4.4,7.0,surveiller,indetermine,Accelerating Sustainable and Clean Energy Access Transformation in Kenya,"Rural Electrification and Renewable Energy Corporation,The Ministry of Energy and Petroleum",KEN,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2026-11-16 (250 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P515398,https://projects.worldbank.org/en/projects-operations/project-detail/P515398,2030-06-30,2026-11-16,nouveau,2026-08-13
2026-08-18,4.7,4.4,5.0,surveiller,indetermine,Syria Integrated Education Recovery Project,Ministry of Education,SYR,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2026-11-12 (65 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P515981,https://projects.worldbank.org/en/projects-operations/project-detail/P515981,2031-11-17,2026-11-12,nouveau,2026-08-13
2026-08-18,6.4,6.8,6.0,surveiller,indetermine,Systematic Primary Health Care Improvement for Outcomes in Samarkand,Ministry of Economy and Finance,UZB,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2026-11-12 (100 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P512882,https://projects.worldbank.org/en/projects-operations/project-detail/P512882,2028-12-31,2026-11-12,nouveau,2026-08-13
2026-08-18,4.2,4.4,4.0,ignorer,indetermine,Tajikistan Disaster Risk Management Development Policy Financing with Cat DDO,Ministry of Finance,TJK,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2026-11-09 (40 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P515376,https://projects.worldbank.org/en/projects-operations/project-detail/P515376,2029-06-15,2026-11-09,nouveau,2026-08-13
2026-08-18,8.5,10.0,7.0,contacter,indetermine,DRC: Scaling-Up Water Supply and Sanitation Access in Kinshasa Project,Ministry of Water Resources and Electricity,COD,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2026-11-06 (200 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P513301,https://projects.worldbank.org/en/projects-operations/project-detail/P513301,2031-12-26,2026-11-06,nouveau,2026-08-13
2026-08-18,5.9,6.8,5.0,surveiller,indetermine,Modernizing Ethiopia’s Statistical System,Ethiopian Statistical Service,ETH,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2026-11-05 (50 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P513304,https://projects.worldbank.org/en/projects-operations/project-detail/P513304,,2026-11-05,nouveau,2026-08-13
2026-08-18,7.4,6.8,8.0,contacter,indetermine,Second Advancing Global Integration and Market Transition Uzbekistan Programmatic Development Policy Operation,Ministry of Economy and Finance of Uzbekistan,UZB,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2026-11-05 (800 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P511921,https://projects.worldbank.org/en/projects-operations/project-detail/P511921,2029-06-29,2026-11-05,nouveau,2026-08-13
2026-08-18,8.0,10.0,6.0,contacter,indetermine,RESILAND Niger Integrated Landscape Management Project,,NER,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2026-10-30 (150 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P516380,https://projects.worldbank.org/en/projects-operations/project-detail/P516380,,2026-10-30,nouveau,2026-08-13
