date_maj,score_final,score_surete,score_commercial,action_recommandee,fenetre_action,niveau_opportunite_amarante,titre,acheteur,pays_execution,nature_client,secteur,categorie_es,statut,date_publication,type_client,type_mobilite,profil_personnes_exposees,duree_estimee,accessibilite_commerciale,securite_existante_detectee,profils_acteurs_probables,cible_commerciale_reelle,justification,confiance,modele,raffine,divergence,valeur_estimee,publication_number,lien_avis,statut_suivi,date_detection
2026-08-14,5.9,4.2,8.0,surveiller,indetermine,moyen,PROALU,PROALU,CMR,Entreprise,Industrie,A : projet à risque E&S très élevé,En cours,2025-09-10,entreprise_privee,chantier,technicien,longue_ou_residente,facile,False,"directeurs de projet et cadres dirigeants expatriés en phase de construction, ingénieurs et techniciens spécialisés en métallurgie et génie industriel, superviseurs de chantier internationaux, experts en mise en service d'équipements industriels lourds, représentants de bailleurs et auditeurs financiers en visite de site","Entreprise privee financee par Proparco (groupe AFD) : PROALU en Cameroun. Cible : le client et ses equipes deployees sur zone a risque. Bailleur francais, souvent plus accessible qu'un marche multilateral.","La construction d'une usine industrielle lourde à Douala implique la présence durable d'expatriés et de techniciens internationaux sur un chantier de grande envergure, générant des besoins concrets de transport sécurisé, d'escorte et de protection rapprochée pour les cadres dirigeants et visiteurs institutionnels. Le contexte camerounais, marqué par des tensions sécuritaires dans certaines régions et une criminalité urbaine à Douala, renforce la pertinence d'un dispositif de sûreté opérationnel.",0.78,claude-sonnet-4-6,True,False,22 867 353 EUR,PCM114902,,nouveau,2026-08-14
2026-08-14,5.5,4.5,6.5,surveiller,indetermine,moyen,C3ntro,CTG CONTROL,MEX,Infrastructures,Télécom,B+ : projet à risque E&S élevé,En cours,2025-12-19,entreprise_privee,multi_sites,technicien,longue_ou_residente,moyenne,False,"ingénieurs télécoms déployés sur le tracé, techniciens de pose et de soudure de fibre optique, chefs de chantier itinérants, superviseurs internationaux en mission longue durée, coordinateurs logistiques sur corridor transfrontalier","Entreprise privee financee par Proparco (groupe AFD) : CTG CONTROL en Mexique. Cible : le client et ses equipes deployees sur zone a risque. Bailleur francais, souvent plus accessible qu'un marche multilateral.","Le déploiement d'un câble de fibre optique sur un corridor terrestre Mexico-Phoenix implique des équipes techniques itinérantes traversant des zones du nord du Mexique exposées à une criminalité organisée élevée et à des risques d'extorsion sur chantier linéaire. La nature transfrontalière et la longueur du tracé génèrent un besoin concret d'escorte mobile, de sécurisation des convois d'équipements et de protection des cadres internationaux en déplacement.",0.74,claude-sonnet-4-6,True,True,29 797 378 EUR,PMX103501,,nouveau,2026-08-14
2026-08-14,5.5,4.5,6.5,surveiller,indetermine,faible,DIFARE,Distribuidora Farmaceutica Ecuatoriana DIFARE S.A,ECU,Entreprise,Santé,B+ : projet à risque E&S élevé,en cours,2024-11-28,entreprise_privee,multi_sites,technicien,longue_ou_residente,moyenne,False,"techniciens en installation de systèmes solaires, chefs de projet CAPEX, responsables logistique et supply chain, cadres dirigeants supervisant le déploiement réseau, auditeurs et consultants ESG mandatés par le bailleur","Entreprise privee financee par Proparco (groupe AFD) : Distribuidora Farmaceutica Ecuatoriana DIFARE S.A en EQUATEUR. Cible : le client et ses equipes deployees sur zone a risque. Bailleur francais, souvent plus accessible qu'un marche multilateral.","Le projet implique des déplacements multi-sites réels pour des travaux d'installation et de supervision sur un réseau de distribution et de pharmacies à l'échelle nationale, mais l'Équateur présente un niveau de risque sécuritaire modéré ne justifiant pas systématiquement un dispositif de protection rapprochée ou d'escorte. Le besoin opérationnel de sûreté reste marginal sauf contexte dégradé localisé.",0.62,claude-sonnet-4-6,True,False,20 348 287 EUR,PEC103701,https://www.proparco.fr/fr/carte-des-projets/difare,nouveau,2026-08-14
2026-08-14,5.4,4.3,6.5,surveiller,indetermine,moyen,Frooty,FROOTY,BRA,Entreprise,Agro-industrie et agriculture,A : projet à risque E&S très élevé,Clôturé,2025-02-25,entreprise_privee,terrain_isole,technicien,longue_ou_residente,moyenne,False,"cadres dirigeants et managers opérationnels basés en zone amazonienne, techniciens de maintenance et responsables de production en site industriel isolé, responsables qualité et certification effectuant des tournées terrain en forêt, coordinateurs de filière approvisionnement se déplaçant vers des communautés rurales reculées, auditeurs ou représentants du bailleur en visite de supervision","Entreprise privee financee par Proparco (groupe AFD) : FROOTY en Brésil. Cible : le client et ses equipes deployees sur zone a risque. Bailleur francais, souvent plus accessible qu'un marche multilateral.","L'activité agro-industrielle de Frooty implique des déplacements réguliers de personnel encadrant vers des sites de production et des zones de collecte en Amazonie brésilienne, environnement isolé exposé à des risques de criminalité rurale, de conflits fonciers et d'accessibilité difficile. Le renouvellement d'installations et la supervision de la chaîne d'approvisionnement en forêt génèrent un besoin concret d'escorte, de sécurisation de déplacements terrain et de chauffeurs sécurité pour les profils expatriés ou cadres en mission.",0.65,claude-sonnet-4-6,True,False,8 513 537 EUR,PBR110701,,nouveau,2026-08-14
2026-08-14,5.2,3.9,6.5,surveiller,indetermine,moyen,Aktivco 5,AKTIVCO SAS,CMR,Entreprise,Energie,B+ : projet à risque E&S élevé,en cours,2024-12-13,entreprise_privee,multi_sites,technicien,longue_ou_residente,moyenne,False,"techniciens de déploiement et de maintenance d'équipements solaires et batteries, chefs de projet énergie en déplacement multi-pays, superviseurs terrain infrastructure télécom, cadres opérationnels de la société mère en visite de supervision, équipes logistiques et supply chain pour acheminement de matériel","Entreprise privee financee par Proparco (groupe AFD) : AKTIVCO SAS en MULTI-PAYS. Cible : le client et ses equipes deployees sur zone a risque. Bailleur francais, souvent plus accessible qu'un marche multilateral.","AktivCo déploie des équipes techniques sur des sites de tours télécom répartis dans plusieurs pays à risque d'Afrique subsaharienne pour installer et maintenir des équipements énergétiques, générant un besoin récurrent de sécurisation des déplacements terrain et d'escorte sur des axes souvent isolés. La structure multi-pays avec présence résidente et chantiers dispersés hors capitales constitue un profil opérationnel concret pour des prestations de protection et de mobilité sécurisée.",0.72,claude-sonnet-4-6,True,False,21 700 000 EUR,PZZ175901,https://waf.proparco.fr/fr/carte-des-projets/aktivco-5,nouveau,2026-08-14
2026-08-14,5.2,3.9,6.5,surveiller,indetermine,moyen,CMI Alimentos,CMI,GTM,Entreprise,Agro-industrie et agriculture,B+ : projet à risque E&S élevé,Clôturé,2025-01-09,entreprise_privee,multi_sites,technicien,longue_ou_residente,moyenne,False,"directeurs et cadres dirigeants régionaux en déplacement inter-pays, ingénieurs et techniciens environnementaux supervisant les mises aux normes, responsables de certification carbone et auditeurs terrain, experts en traitement des eaux usées intervenant sur plusieurs sites industriels, responsables supply chain et logistique multi-sites","Entreprise privee financee par Proparco (groupe AFD) : CMI en Guatémala. Cible : le client et ses equipes deployees sur zone a risque. Bailleur francais, souvent plus accessible qu'un marche multilateral.","Le projet implique des déplacements réguliers de cadres et techniciens sur plusieurs sites industriels répartis au Salvador, au Honduras et au Costa Rica, pays présentant des niveaux de criminalité et d'insécurité variables. Les missions de supervision de chantier, d'audit environnemental et de mise en conformité génèrent un besoin concret d'escorte, de chauffeurs sécurité et de sécurisation des déplacements inter-sites pour le personnel expatrié ou régional exposé.",0.72,claude-sonnet-4-6,True,False,,PGT101201 / PGT101202 / PGT101204,,nouveau,2026-08-14
2026-08-14,5.0,3.5,6.5,surveiller,indetermine,faible,Coruripe,CORURIPE,BRA,Entreprise,Agro-industrie et agriculture,A : projet à risque E&S très élevé,Clôturé,2026-01-23,entreprise_privee,multi_sites,technicien,longue_ou_residente,moyenne,False,"cadres dirigeants et directeurs de site agro-industriel, techniciens agricoles et agronomes terrain, superviseurs de production sucrière et éthanol, auditeurs de certification environnementale et sociale, représentants de bailleurs en mission de suivi","Entreprise privee financee par Proparco (groupe AFD) : CORURIPE en Brésil. Cible : le client et ses equipes deployees sur zone a risque. Bailleur francais, souvent plus accessible qu'un marche multilateral.","Le projet implique une présence physique réelle sur des sites agricoles et industriels dispersés dans l'État d'Alagoas et potentiellement d'autres États brésiliens, avec des équipes techniques et des auditeurs en déplacement terrain. Toutefois, le Brésil, bien que présentant des risques criminels localisés, n'est pas un pays à risque sûreté de premier rang pour ce type de prestation, et Coruripe dispose vraisemblablement de dispositifs internes de gestion de site ; l'opportunité commerciale pour une société de protection en zones à risque reste limitée.",0.55,claude-sonnet-4-6,True,False,25 540 610 EUR,PBR111601,,nouveau,2026-08-14
2026-08-14,5.0,3.4,6.5,surveiller,indetermine,moyen,Orchidia,ORCHIDIA CC,EGY,Entreprise,Santé,B+ : projet à risque E&S élevé,En cours,2025-12-11,entreprise_privee,capitale,expert_international,longue_ou_residente,moyenne,False,"directeurs et cadres dirigeants expatriés en déplacement sur site industriel, experts techniques pharmaceutiques internationaux en mission de supervision, auditeurs et consultants mandatés par le bailleur pour suivi de performance, responsables supply chain et logistique en déplacement régional","Entreprise privee financee par Proparco (groupe AFD) : ORCHIDIA CC en Égypte. Cible : le client et ses equipes deployees sur zone a risque. Bailleur francais, souvent plus accessible qu'un marche multilateral.","Le projet implique une infrastructure industrielle de production pharmaceutique en Égypte avec une présence résidente de cadres et d'experts internationaux sur site, générant un besoin de protection rapprochée et de sécurisation des déplacements dans un contexte urbain cairote à risque modéré. Les missions de suivi Proparco et les déplacements régionaux vers les marchés export africains et moyen-orientaux constituent des opportunités complémentaires d'escorte et de chauffeur sécurité.",0.72,claude-sonnet-4-6,True,True,17 027 073 EUR,PEG107002,,nouveau,2026-08-14
2026-08-14,5.0,3.5,6.5,surveiller,indetermine,moyen,ComBio,LLBFDI EM P,BRA,Entreprise,Industrie,A : projet à risque E&S très élevé,Clôturé,2025-07-02,entreprise_privee,multi_sites,technicien,longue_ou_residente,moyenne,False,"techniciens d'installation et de maintenance de systèmes de combustion biomasse, responsables logistique approvisionnement terrain, ingénieurs supervision multi-sites industriels, cadres opérationnels en déplacement régulier entre sites clients","Entreprise privee financee par Proparco (groupe AFD) : LLBFDI EM P en Brésil. Cible : le client et ses equipes deployees sur zone a risque. Bailleur francais, souvent plus accessible qu'un marche multilateral.","ComBio déploie des équipes techniques sur les sites industriels de ses clients à travers le Brésil pour installer, opérer et maintenir des équipements de combustion biomasse, générant une mobilité multi-sites régulière et durable. Certaines zones industrielles ou rurales d'approvisionnement en biomasse au Brésil présentent des risques de criminalité et de sécurité routière justifiant un besoin de sécurisation des déplacements et d'escorte pour les techniciens et cadres expatriés ou en mission.",0.72,claude-sonnet-4-6,True,False,8 828 735 EUR,PBR110801 / PBR110802,,nouveau,2026-08-14
2026-08-14,4.8,1.5,8.0,ignorer,indetermine,faible,EcoEnterprises Fund IV,EEP IV L.P,MEX,Généraliste,Autres secteurs,IF-A : projet à risque E&S très élevé,En cours,2025-12-11,entreprise_privee,aucune,aucun,longue_ou_residente,facile,False,"gestionnaires de fonds (sièges régionaux), analystes d'investissement (télétravail possible), auditeurs financiers (visites ponctuelles aux PME investies)","Entreprise privee financee par Proparco (groupe AFD) : EEP IV L.P en Multi-Pays ALC. Cible : le client et ses equipes deployees sur zone a risque. Bailleur francais, souvent plus accessible qu'un marche multilateral.","EcoEnterprises Fund IV est un véhicule financier pur d'intermédiation de capital. Le client ne déploie pas d'équipes permanentes sur chantier ou site opérationnel ; il finance des PME tierces en ALC. Les visites de due diligence ou de suivi sont ponctuelles et relèvent de la responsabilité des PME investies, non du fonds lui-même. Aucun besoin opérationnel de sûreté terrain.",0.95,claude-haiku-4-5-20251001,False,False,8 513 537 EUR,PZZ177601,,nouveau,2026-08-14
2026-08-14,4.8,1.5,8.0,ignorer,indetermine,faible,P. fragiles - MFS,MICROFINANCE SOLIDAIRE,HTI,Entreprise,Micro Finance,IF-C : projet à risque E&S faible,en cours,2024-10-08,entreprise_privee,aucune,aucun,longue_ou_residente,facile,False,"Analystes crédit et gestionnaires de portefeuille en siège, Responsables de suivi administratif et financier, Auditeurs internes occasionnels","Entreprise privee financee par Proparco (groupe AFD) : MICROFINANCE SOLIDAIRE en MULTI-PAYS. Cible : le client et ses equipes deployees sur zone a risque. Bailleur francais, souvent plus accessible qu'un marche multilateral.","Projet purement financier d'intermédiation et de gestion de portefeuille de crédits. Aucun déploiement de personnel sur chantier, site industriel ou terrain opérationnel. Les activités se concentrent sur l'octroi de financements et l'accompagnement administratif d'institutions partenaires sans présence physique prolongée exposée.",0.95,claude-haiku-4-5-20251001,False,False,2 000 000 EUR,PZZ172101,https://www.proparco.fr/fr/carte-des-projets/p-fragiles-mfs,nouveau,2026-08-14
2026-08-14,4.8,1.5,8.0,ignorer,indetermine,faible,Fleeti - Serie A,FLEETI,BFA,Entreprise,"Information, Communication et Autres services",C : projet à risque E&S faible,Clôturé,2025-10-08,entreprise_privee,aucune,aucun,longue_ou_residente,facile,False,"développeurs logiciels, ingénieurs données, responsables produit, équipes commerciales","Entreprise privee financee par Proparco (groupe AFD) : FLEETI en Multi-Pays AFO. Cible : le client et ses equipes deployees sur zone a risque. Bailleur francais, souvent plus accessible qu'un marche multilateral.","Fleeti est une plateforme SaaS de gestion de flottes sans déploiement physique de personnel sur chantier ou terrain isolé. Le financement porte sur le développement produit et l'expansion commerciale, activités basées en bureaux ou en télétravail. Aucune exposition opérationnelle terrain n'est identifiée.",0.95,claude-haiku-4-5-20251001,False,False,1 000 112 EUR,PZZ179501,,nouveau,2026-08-14
2026-08-14,4.5,0.9,8.0,ignorer,indetermine,faible,TFSC CIB,CIB,EGY,Généraliste,Inconnu,,En cours,2025-02-24,entreprise_privee,aucune,aucun,longue_ou_residente,facile,False,"cadres bancaires en siège, analystes crédit, gestionnaires de portefeuille","Entreprise privee financee par Proparco (groupe AFD) : CIB en Égypte. Cible : le client et ses equipes deployees sur zone a risque. Bailleur francais, souvent plus accessible qu'un marche multilateral.","Projet purement financier d'intermédiation bancaire sans chantier, site opérationnel ou déploiement de personnel terrain. CIB reste en siège au Caire ; les fonds financent des tiers via la banque, sans exposition physique du client ou de Proparco en zones à risque.",0.95,claude-haiku-4-5-20251001,False,False,45 000 000 EUR,CEG115501 / CEG115502,,nouveau,2026-08-14
2026-08-14,4.5,2.4,6.5,ignorer,indetermine,moyen,Refinancing Fontibon,ELECTRIBUS F,COL,Infrastructures,"Infrastructure (transport, mine)",B : projet à risque E&S modéré,Clôturé,2025-08-27,entreprise_privee,capitale,technicien,longue_ou_residente,moyenne,False,"directeur de concession de transport urbain, responsable technique flotte électrique, ingénieur mise en service et maintenance batteries, superviseur opérations dépôt bus, représentant du fonds d'infrastructure investisseur","Entreprise privee financee par Proparco (groupe AFD) : ELECTRIBUS F en Colombie. Cible : le client et ses equipes deployees sur zone a risque. Bailleur francais, souvent plus accessible qu'un marche multilateral.","La concession opère une flotte de 126 bus électriques en service actif à Bogota, impliquant une présence résidente de cadres internationaux et de techniciens spécialisés sur un dépôt et des lignes urbaines dans un contexte de criminalité urbaine colombienne. Les déplacements réguliers de personnel expatrié entre sites opérationnels, dépôts et réunions institutionnelles génèrent un besoin concret de chauffeur sécurité et de protection des déplacements en capitale.",0.72,claude-sonnet-4-6,True,False,16 458 112 EUR,PCO103602,,nouveau,2026-08-14
