date_maj,score_final,score_surete,score_commercial,action_recommandee,fenetre_action,niveau_opportunite_amarante,titre,acheteur,pays_execution,type_document,categorie_es,secteur,board_prevu,date_publication,type_client,type_mobilite,profil_personnes_exposees,duree_estimee,accessibilite_commerciale,securite_existante_detectee,profils_acteurs_probables,cible_commerciale_reelle,justification,confiance,modele,raffine,divergence,statut,valeur_estimee,publication_number,lien_avis,statut_suivi,date_detection
2026-08-01,6.5,6.4,6.5,contacter,indetermine,moyen,IRC Egypt,IRC Egypt,"Egypt, Arab Republic of",Environmental Documents (AIP Policy 2012),B - Limited,G-DB - Phosphatic Fertilizer,,2026-06-16,entreprise_privee,chantier,expert_international,longue_ou_residente,moyenne,False,"cadres dirigeants expatriés du groupe industriel sponsor, ingénieurs et techniciens spécialisés en procédés chimiques et pétrochimiques, superviseurs de chantier greenfield internationaux, responsables HSE et environnement déployés sur site, équipes de mise en service et commissioning d'unités industrielles lourdes, représentants de prêteurs et auditeurs techniques mandatés par les bailleurs","Investissement prive finance par l'IFC (entreprise projet : IRC Egypt) en Egypt, Arab Republic of. Cible : l'entreprise projet et ses sponsors etrangers, qui deploient cadres et actifs sur zone a risque.","La construction d'un complexe industriel greenfield de grande envergure en zone économique spéciale implique une présence prolongée de cadres et techniciens expatriés sur chantier, nécessitant des prestations d'escorte, de transport sécurisé et de protection rapprochée pour les déplacements entre le site d'Ain Sokhna, le port de Sokhna et Le Caire. Le contexte égyptien, bien que relativement stable dans cette zone industrielle, justifie un dispositif de sûreté structuré pour les profils à haute valeur exposés sur la durée.",0.78,claude-sonnet-4-6,True,False,Active,inconnu,IFC:49554,https://disclosures.ifc.org/project-detail/ESRS/49554/irc-egypt,nouveau,2026-08-01
2026-08-01,6.5,6.4,6.5,contacter,indetermine,moyen,Allied Group ETH,Allied Chemicals Share Company,Ethiopia,Environmental Documents (AIP Policy 2012),B - Limited,G-DC - Fertilizer (Mixing Only),,2026-06-11,entreprise_privee,chantier,expert_international,longue_ou_residente,moyenne,False,"ingénieurs de mise en service et commissioning spécialisés en procédés chimiques ou engrais, superviseurs techniques expatriés mandatés par les fournisseurs d'équipements, cadres dirigeants de l'entreprise projet en déplacement régulier entre Addis Abeba et le site, représentants de l'investisseur financier international en mission de supervision et audit, consultants HSE et conformité environnementale mandatés pour le suivi IFC","Investissement prive finance par l'IFC (entreprise projet : Allied Chemicals Share Company) en Ethiopia. Cible : l'entreprise projet et ses sponsors etrangers, qui deploient cadres et actifs sur zone a risque.","Le projet implique une phase active de commissioning et de démarrage d'une installation chimique industrielle à Adama, région Oromia, zone historiquement affectée par des tensions sécuritaires, nécessitant la présence régulière d'experts internationaux et de cadres sur site. Les déplacements récurrents entre Addis Abeba et le site industriel, ainsi que la présence de personnel technique étranger en phase opérationnelle initiale, génèrent un besoin concret d'escorte, de transport sécurisé et de protection rapprochée.",0.74,claude-sonnet-4-6,True,False,Pending,inconnu,IFC:51874,https://disclosures.ifc.org/project-detail/ESRS/51874/allied-group-eth,nouveau,2026-08-01
2026-08-01,7.0,7.4,6.5,contacter,indetermine,fort,Aysha I Wind,AMEA Power Aysha Wind One Plc,Ethiopia,Summary of Investment Information (AIP Policy 2012),A - Significant,V-BC - Wind Power - Renewable Energy Generation,2026-08-31,2026-06-08,entreprise_privee,terrain_isole,expert_international,longue_ou_residente,moyenne,False,"directeur de projet expatrié basé en phase construction et O&M, ingénieurs spécialisés éolien en déplacement sur site, superviseurs HSE internationaux, responsables techniques et de maintenance résidents, cadres financiers et contractuels en déplacement depuis la capitale, représentants du sponsor du Golfe en visite de supervision","Investissement prive finance par l'IFC (entreprise projet : AMEA Power Aysha Wind One Plc) en Ethiopia. Cible : l'entreprise projet et ses sponsors etrangers, qui deploient cadres et actifs sur zone a risque.","Un parc éolien de 300 MW en phase de construction puis d'exploitation sur 25 ans dans la région Somali d'Éthiopie, zone classée à risque sécuritaire élevé et d'accès difficile, implique une présence physique durable de personnel expatrié et de cadres internationaux sur un site isolé. Les besoins en escorte, protection rapprochée et sécurisation des déplacements entre Addis-Abeba et le site sont structurels et couvrent l'ensemble du cycle de vie du projet.",0.92,claude-sonnet-4-6,True,False,Pending,inconnu,IFC:49251,https://disclosures.ifc.org/project-detail/SII/49251/aysha-i-wind,nouveau,2026-08-01
2026-08-01,6.0,5.5,6.5,contacter,indetermine,moyen,Adjaristsqali Georgia LLC,Adjaristsqali Georgia LLC(Limited liability Company),Georgia,Environmental Documents (AIP Policy 2012),A - Significant,V-BA - Large Hydro - Renewable Energy Generation,,2026-05-28,entreprise_privee,multi_sites,expert_international,longue_ou_residente,moyenne,False,"directeur de projet expatrié représentant un sponsor énergétique européen, directeur de projet expatrié représentant un sponsor énergétique asiatique, ingénieurs génie civil et hydraulique internationaux en résidence sur chantier, superviseurs de percement de tunnels et de construction de barrages, responsables HSE et environnement déployés sur sites multiples, représentants de la structure de financement en visite de supervision, équipes de consultants E&S en mission terrain pour conformité IFC","Investissement prive finance par l'IFC (entreprise projet : Adjaristsqali Georgia LLC(Limited liability Company)) en Georgia. Cible : l'entreprise projet et ses sponsors etrangers, qui deploient cadres et actifs sur zone a risque.","Le projet implique la construction simultanée de plusieurs ouvrages majeurs (barrages, tunnels, routes, centrales) sur des sites dispersés en zone montagneuse isolée du sud-ouest de la Géorgie, avec des camps de chantier hébergeant jusqu'à 400 personnes et du personnel expatrié de haut niveau issu de sponsors multinationaux. La dispersion géographique des sites, l'isolement du terrain et la durée pluriannuelle du chantier génèrent un besoin réel de sécurisation des déplacements inter-sites, d'escorte de cadres et de protection rapprochée pour les dirigeants en visite.",0.82,claude-sonnet-4-6,True,False,Active,inconnu,IFC:33435,https://disclosures.ifc.org/project-detail/ESRS/33435/adjaristsqali-georgia-llc,nouveau,2026-08-01
2026-08-01,6.0,5.5,6.5,contacter,indetermine,moyen,Foodtec Naval G,Naval Holding,Angola,Environmental Documents (AIP Policy 2012),B - Limited,A-AG - Diversified Edible Agricultural Crops Production,,2026-05-22,entreprise_privee,multi_sites,expert_international,longue_ou_residente,moyenne,False,"directeurs et cadres dirigeants du groupe holding international basé en Angola, ingénieurs et techniciens spécialisés en génie industriel et agroalimentaire supervisant les chantiers, experts en installation et mise en service d'équipements de production (meunerie, biscuiterie, rizerie), responsables de projet et chefs de chantier expatriés ou en mission longue durée, équipes logistiques et supply chain supervisant les flux entre sites industriels","Investissement prive finance par l'IFC (entreprise projet : Naval Holding) en Angola. Cible : l'entreprise projet et ses sponsors etrangers, qui deploient cadres et actifs sur zone a risque.","Le projet implique la construction simultanée de deux complexes industriels agro-alimentaires sur deux sites distincts en périphérie de Luanda (Viana et Cacuaco), nécessitant une présence prolongée de cadres et techniciens internationaux sur chantier. La mobilité inter-sites dans un environnement urbain et péri-urbain angolais à risque modéré génère un besoin concret d'escorte, de chauffeurs sécurité et de sécurisation des déplacements pour le personnel expatrié.",0.78,claude-sonnet-4-6,True,False,Pending,inconnu,IFC:52071,https://disclosures.ifc.org/project-detail/ESRS/52071/foodtec-naval-g,nouveau,2026-08-01
2026-08-01,6.0,5.5,6.5,contacter,indetermine,moyen,Movit Products Limited,MOVIT PRODUCTS LIMITED,Uganda,Summary of Investment Information (AIP Policy 2012),B - Limited,"G-GA - Soap and Cleaning Compound  (Soap, Detergent, etc.)",2026-06-21,2026-05-20,entreprise_privee,multi_sites,expert_international,longue_ou_residente,moyenne,False,"directeurs et cadres dirigeants de l'entreprise en déplacement inter-sites Ouganda-Tanzanie, ingénieurs et techniciens supervisant la construction et l'installation du site greenfield, responsables de projet et chefs de chantier expatriés ou régionaux, équipes d'approvisionnement et de mise en service des équipements industriels, auditeurs et représentants du bailleur en visite de supervision","Investissement prive finance par l'IFC (entreprise projet : MOVIT PRODUCTS LIMITED) en Uganda. Cible : l'entreprise projet et ses sponsors etrangers, qui deploient cadres et actifs sur zone a risque.","La construction d'un site industriel greenfield en Tanzanie combinée aux opérations existantes en Ouganda génère des déplacements réguliers de cadres et techniciens entre deux pays d'Afrique de l'Est présentant des risques sécuritaires variables, notamment sur les axes routiers inter-sites et en phase chantier. La durée longue du projet et la nature multi-sites créent un besoin structuré d'escorte, de chauffeurs sécurité et de sécurisation des déplacements terrain pour les profils exposés.",0.72,claude-sonnet-4-6,True,False,Pending,inconnu,IFC:51991,https://disclosures.ifc.org/project-detail/SII/51991/movit-products-limited,nouveau,2026-08-01
2026-08-01,5.0,3.5,6.5,surveiller,indetermine,moyen,AA KE Upsize II,AIRTEL NETWORKS KENYA LIMITED,Kenya,Environmental Documents (AIP Policy 2012),B - Limited,N-AC - Mobile Telephony,,2026-05-19,entreprise_privee,multi_sites,technicien,longue_ou_residente,moyenne,False,"directeurs techniques et ingénieurs réseau expatriés supervisant le déploiement d'infrastructure télécoms, responsables de projet capex en charge du déploiement 4G et fibre, superviseurs de chantier coordonnant les sous-traitants spécialisés (TowerCos, FibreCos), équipes d'audit et de conformité E&S en déplacement sur les sites","Investissement prive finance par l'IFC (entreprise projet : AIRTEL NETWORKS KENYA LIMITED) en Kenya. Cible : l'entreprise projet et ses sponsors etrangers, qui deploient cadres et actifs sur zone a risque.","Le projet implique des déploiements multi-sites d'infrastructure télécoms (tours, fibre, équipements actifs 4G) au Kenya et en RDC via des contractants spécialisés, nécessitant une présence physique de techniciens et superviseurs expatriés sur le terrain. La mobilité multi-sites dans des zones parfois périurbaines ou rurales, combinée à l'exposition en RDC, génère un besoin réel de sécurisation des déplacements et d'escorte pour le personnel technique.",0.72,claude-sonnet-4-6,True,False,Pending,inconnu,IFC:52401,https://disclosures.ifc.org/project-detail/ESRS/52401/aa-ke-upsize-ii,nouveau,2026-08-01
2026-08-01,5.5,4.5,6.5,surveiller,indetermine,moyen,AA DRC II Upsiz.,AIRTEL CONGO RDC SA,"Congo, Democratic Republic of",Environmental Documents (AIP Policy 2012),B - Limited,N-AC - Mobile Telephony,,2026-05-15,entreprise_privee,multi_sites,technicien,longue_ou_residente,moyenne,False,"directeurs et cadres dirigeants d'une filiale telecom regionale, ingenieurs et techniciens reseau deployes sur sites antennes et fibre, superviseurs de chantier issus de sous-traitants specialises en infrastructure telecom, responsables HSE et conformite E&S en charge du suivi terrain, representants d'equipementiers OEM en mission de deploiement ou maintenance","Investissement prive finance par l'IFC (entreprise projet : AIRTEL CONGO RDC SA) en Congo, Democratic Republic of. Cible : l'entreprise projet et ses sponsors etrangers, qui deploient cadres et actifs sur zone a risque.","Le projet implique des déploiements physiques multi-sites en RDC pour l'expansion et la modernisation du réseau 4G et fibre, mobilisant des techniciens, superviseurs et sous-traitants spécialisés dans un pays classé parmi les environnements sécuritaires les plus complexes d'Afrique subsaharienne. Le modèle asset-light reposant sur des contractants tiers multiplie les intervenants exposés sur le terrain, créant un besoin réel d'escorte, de sécurisation des déplacements et de protection des équipes en zones à risque.",0.72,claude-sonnet-4-6,True,False,Pending,inconnu,IFC:52975,https://disclosures.ifc.org/project-detail/ESRS/52975/aa-drc-ii-upsiz,nouveau,2026-08-01
2026-08-01,6.5,6.4,6.5,contacter,indetermine,moyen,MIDROC Ethiopia,MIDROC Ethiopia PLC,Ethiopia,Environmental Documents (AIP Policy 2012),B - Limited,U-AA - City and Business Hotel,,2026-05-13,entreprise_privee,chantier,expert_international,longue_ou_residente,moyenne,False,"directeur de projet construction expatrie, superviseur technique chantier international, consultant en gestion hoteliere mandate par l operateur international, responsable HSE detache par le groupe investisseur, cadre financier en mission de suivi IFC","Investissement prive finance par l'IFC (entreprise projet : MIDROC Ethiopia PLC) en Ethiopia. Cible : l'entreprise projet et ses sponsors etrangers, qui deploient cadres et actifs sur zone a risque.",Le chantier de remodeling et la construction d un nouvel hotel de 200 chambres a Addis-Abeba impliquent une presence physique durable de cadres expatries et de superviseurs techniques internationaux sur site jusqu en 2026 au moins. L Ethiopie presente un contexte securitaire instable justifiant un besoin de protection rapprochee et de securisation des deplacements pour le personnel etranger affecte au projet.,0.72,claude-sonnet-4-6,True,False,Pending,inconnu,IFC:51174,https://disclosures.ifc.org/project-detail/ESRS/51174/midroc-ethiopia,nouveau,2026-08-01
2026-08-01,4.0,0.9,7.0,ignorer,indetermine,faible,Akij Shipping,Akij Shipping Line Limited,Bangladesh,Environmental Documents (AIP Policy 2012),B - Limited,E-AC - Deep Sea Water Transportation,,2026-05-11,entreprise_privee,aucune,aucun,indetermine,facile,False,"cadres administratifs basés à Dhaka, Singapour, Dubaï, équipages maritimes (marins, capitaines), personnel portuaire (opérateurs terminaux)","Investissement prive finance par l'IFC (entreprise projet : Akij Shipping Line Limited) en Bangladesh. Cible : l'entreprise projet et ses sponsors etrangers, qui deploient cadres et actifs sur zone a risque.","Projet de financement d'acquisition de navires de transport maritime sans déploiement de personnel expatrié sur terrain physique. Les opérations sont maritimes et portuaires, gérées par équipages et personnel portuaire local ; aucune présence de cadres ou techniciens étrangers en zone à risque terrestre justifiant une escorte ou protection rapprochée.",0.92,claude-haiku-4-5-20251001,False,False,Pending,inconnu,IFC:51194,https://disclosures.ifc.org/project-detail/ESRS/51194/akij-shipping,nouveau,2026-08-01
2026-08-01,6.8,7.0,6.5,contacter,indetermine,fort,GNG Wind Volyn 2,Volyn West Wind 2 LLC & Volyn West Wind 3 LLC,Ukraine,Summary of Investment Information (AIP Policy 2012),B - Limited,V-BC - Wind Power - Renewable Energy Generation,2026-06-15,2026-05-11,entreprise_privee,chantier,expert_international,longue_ou_residente,moyenne,False,"directeur de projet expatrié ou international supervisant la construction, ingénieurs spécialisés en énergie éolienne déployés sur chantier, techniciens de mise en service de turbines envoyés par fabricants, responsables HSE et conformité E&S présents sur site, représentants du sponsor et de la holding chypriote en déplacement régulier, auditeurs et superviseurs IFC/bailleurs effectuant des visites terrain","Investissement prive finance par l'IFC (entreprise projet : Volyn West Wind 2 LLC & Volyn West Wind 3 LLC) en Ukraine. Cible : l'entreprise projet et ses sponsors etrangers, qui deploient cadres et actifs sur zone a risque.","Un chantier greenfield de 189 MW en Ukraine en contexte de conflit armé actif implique la présence prolongée de personnel international et de cadres sur des sites isolés en zone Volyn, nécessitant une protection rapprochée, des escortes de déplacement et une sécurisation des convois. Le contexte de guerre en cours élève significativement le niveau de risque résiduel pour tout personnel expatrié ou visiteur institutionnel.",0.88,claude-sonnet-4-6,True,False,Pending,inconnu,IFC:51587,https://disclosures.ifc.org/project-detail/SII/51587/gng-wind-volyn-2,nouveau,2026-08-01
