entreprise,segment,domaine,priorite_socle,justification_priorite,moteur_deploiement_terrain,zones_typiques_A_VALIDER,angle_contact,statut_veille,dernier_signal,source_signal
Exail (ex-ECA / iXblue),ETI,Drones navals / navigation,Haute,Exposition zones à risque (mondial) → Haute. Présence terrain durable.,Démonstrations + déploiement systèmes,Mondial,Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
CILAS,ETI,Optronique / laser,Haute,"Exposition zones à risque (moyen-orient, asie) → Haute. Présence terrain durable.",Essais + intégration sur site,"Moyen-Orient, Asie",Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
Roxel,ETI,Propulsion missiles,Moyenne,"Zones non renseignées : priorité conservée, à qualifier.",Essais propulseurs en zone client,,Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
CS Group,ETI,Systèmes critiques / cyber,Haute,Exposition zones à risque (mondial) → Haute. Présence terrain durable.,Déploiement systèmes de commandement,Mondial,Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
Exosens (ex-Photonis),ETI,Optronique / vision nocturne,Moyenne,"Zones non renseignées : priorité conservée, à qualifier.",Intégration + démonstrations,,Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
Turgis & Gaillard,ETI,Drones (Aarok) / systèmes,Moyenne,"Zones non renseignées : priorité conservée, à qualifier.",Démonstrations drone MALE en zone client,,Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
Texelis,ETI,Mobilité terrestre / motorisation,Haute,"Exposition zones à risque (afrique, moyen-orient) → Haute.",Essais + soutien véhicules,"Afrique, Moyen-Orient",Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
Lacroix Defense,ETI,Contre-mesures / munitions,Moyenne,"Zones non renseignées : priorité conservée, à qualifier.",Essais + livraison en zone client,,Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
CNIM Systèmes Industriels,ETI,Franchissement / systèmes,Moyenne,"Zones non renseignées : priorité conservée, à qualifier.",Mise en oeuvre systèmes lourds sur site,,Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
Aresia (ex-ADS),ETI,Armement aéroporté,Moyenne,"Zones non renseignées : priorité conservée, à qualifier.",Essais + intégration sur plateformes,,Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
Hensoldt France (ex-Nexeya),ETI,Électronique embarquée,Moyenne,"Zones non renseignées : priorité conservée, à qualifier.",Intégration + soutien sur site,,Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
Sogitec,ETI,Simulation / formation,Moyenne,"Zones non renseignées : priorité conservée, à qualifier.",Installation simulateurs + formation client,,Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
CAE France,ETI,Simulation / entraînement,Haute,Exposition zones à risque (mondial) → Haute. Présence terrain durable.,Déploiement centres entraînement à l étranger,Mondial,Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
Bertin Technologies,ETI,Détection NRBC,Moyenne,"Zones non renseignées : priorité conservée, à qualifier.",Déploiement capteurs + essais terrain,,Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
HGH Systèmes Infrarouges,ETI,Surveillance infrarouge,Haute,Exposition zones à risque (moyen-orient) → Haute. Présence terrain durable.,Installation systèmes surveillance sites sensibles,Moyen-Orient,Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
John Cockerill Defense France,ETI,Tourelles / terrestre,Haute,"Exposition zones à risque (afrique, moyen-orient, asie) → Haute.",Essais tourelles + intégration en zone client,"Afrique, Moyen-Orient, Asie",Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
Soframe (groupe Lohr),ETI,Véhicules militaires,Moyenne,"Zones non renseignées : priorité conservée, à qualifier.",Livraison + soutien véhicules,,Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
Eurenco,ETI,Explosifs / poudres,Haute,Exposition zones à risque (moyen-orient) → Haute. Présence terrain durable.,Support munitions + implantations usines,"Europe, Moyen-Orient",Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
Marlink,ETI,Communications satellitaires,Haute,Exposition zones à risque (mondial) → Haute. Présence terrain durable.,Installation + soutien comms en OPEX/zones isolées,Mondial,Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
CMN (Const. Méca. de Normandie),ETI,Naval / patrouilleurs,Haute,"Exposition zones à risque (golfe, arabie, eau) → Haute. Présence terrain durable.",Mise en service + soutien sur base client,"Golfe (Arabie, EAU)",Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
Piriou,ETI,Naval / chantiers,Haute,"Exposition zones à risque (niger, afrique de l ouest, afrique) → Haute.",Chantiers et soutien implantés à l étranger,"Afrique de l Ouest (Nigeria, Sénégal)",Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
OCEA,ETI,Patrouilleurs,Haute,"Exposition zones à risque (afrique, afrique de l ouest) → Haute.",Livraison + formation marines africaines,Afrique de l Ouest et centrale,Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
Socarenam,ETI,Navires patrouille,Moyenne,Exposition zones à risque (afrique) → Moyenne. Pas de présence terrain déclarée → plafonné.,Livraison + soutien,"Afrique, Europe",Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
Kership (Piriou/Naval Group),ETI,Naval,Moyenne,"Zones non renseignées : priorité conservée, à qualifier.",Mise en service navires exportés,,Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
Défense Conseil International (DCI),ETI,Formation / MCO / soutien export,Haute,"Exposition zones à risque (golfe, inde, asie) → Haute. Présence terrain durable.",Formateurs et mainteneurs déployés en permanence en zone sensible,"Golfe, Asie du SE, Inde",Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
ODAS,ETI,Soutien export Etat-Etat,Haute,"Exposition zones à risque (moyen-orient, arabie, saoudite) → Haute. Présence terrain durable.",Accompagnement contrats + présence terrain,"Arabie saoudite, Moyen-Orient",Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
Sofema,ETI,Support / MRO / formation,Moyenne,"Zones non renseignées : priorité conservée, à qualifier.",Soutien logistique et formation à l export,,Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
Europavia,ETI,MRO aéronautique défense,Moyenne,"Zones non renseignées : priorité conservée, à qualifier.",Maintenance + intégration sur site client,,Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
Nexter Training / KNDS,ETI,Formation terrestre,Moyenne,"Zones non renseignées : priorité conservée, à qualifier.",Formation équipages en zone client,,Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
Delair,PME,Drones ISR,Haute,"Exposition zones à risque (afrique, moyen-orient) → Haute.",Démonstrations + déploiement opérateurs terrain,"Afrique, Moyen-Orient",Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
Novadem,PME,Micro-drones,Basse,"Zones non renseignées : priorité conservée, à qualifier.",Démonstrations terrain ponctuelles,,Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
Shark Robotics,PME,Robots terrestres (UGV),Moyenne,"Zones non renseignées : priorité conservée, à qualifier.",Démonstrations + déploiement en zone opération,,Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
Diodon Drone Technology,PME,Drones tout-terrain,Basse,"Zones non renseignées : priorité conservée, à qualifier.",Démonstrations terrain,,Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
EOS Technologie,PME,Drones,Basse,"Zones non renseignées : priorité conservée, à qualifier.",Démonstrations + essais,,Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
Parrot,PME,Micro-drones (dual-use),Basse,"Zones non renseignées : priorité conservée, à qualifier.",Démonstrations + support export,,Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
XSun,PME,Drones solaires,Basse,"Zones non renseignées : priorité conservée, à qualifier.",Essais longue endurance,,Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
Cerbair,PME,Lutte anti-drone,Haute,Exposition zones à risque (moyen-orient) → Haute. Présence terrain durable.,Déploiement systèmes sur sites sensibles,Moyen-Orient,Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
Preligens / Safran.AI,PME,IA analyse image,Basse,"Zones non renseignées : priorité conservée, à qualifier.",Missions techniques ponctuelles,,Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
CS Group Cyber,PME,Cyber / systèmes,Basse,"Zones non renseignées : priorité conservée, à qualifier.",Déploiement systèmes,,Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
Airbus CyberSecurity,ETI,Cyberdéfense,Haute,Exposition zones à risque (moyen-orient) → Haute. Présence terrain durable.,Déploiement équipes sur sites clients,"Europe, Moyen-Orient",Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
HarfangLab,PME,Cybersécurité,Basse,"Zones non renseignées : priorité conservée, à qualifier.",Déploiement + support client,,Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
Amossys,PME,Cyber / audit,Basse,"Zones non renseignées : priorité conservée, à qualifier.",Audits sur site client,,Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
Technamm,PME,Véhicules / shelters militaires,Moyenne,"Exposition zones à risque (afrique, moyen-orient) → Moyenne. Pas de présence terrain déclarée → plafonné.",Livraison + soutien véhicules,"Afrique, Moyen-Orient",Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
Gruau,PME,Véhicules militaires,Basse,"Zones non renseignées : priorité conservée, à qualifier.",Livraison + soutien,,Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
Paul Boyé Technologies,PME,Équipement NRBC / protection,Basse,"Zones non renseignées : priorité conservée, à qualifier.",Livraison + formation équipement,,Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
Verney-Carron,PME,Armement,Basse,"Zones non renseignées : priorité conservée, à qualifier.",Livraison + démonstrations,,Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
Cybergun,PME,Armement léger,Basse,"Zones non renseignées : priorité conservée, à qualifier.",Livraison + salons export,,Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
Eurolinks,PME,Maillons munitions,Basse,"Zones non renseignées : priorité conservée, à qualifier.",Support production / export,,Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
Sofresud,PME,Optronique / systèmes navals,Basse,"Zones non renseignées : priorité conservée, à qualifier.",Intégration sur site,,Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
